Study,OR_SAMPLE,Project,Individual,Sample,SAMPLE,Sample_id,READ_PROTOCOL,Lab,Contact,Reference
HHC,BFI-0003050,6,1,1,P6_I1_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003051,6,2,1,P6_I2_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003052,6,3,1,P6_I3_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003053,6,4,1,P6_I4_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003054,6,5,1,P6_I5_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003055,6,6,1,P6_I6_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003056,6,7,1,P6_I7_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003057,6,8,1,P6_I8_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003058,6,9,1,P6_I9_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003059,6,10,1,P6_I10_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003060,6,11,1,P6_I11_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003061,6,12,1,P6_I12_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003062,6,13,1,P6_I13_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003063,6,14,1,P6_I14_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003064,6,15,1,P6_I15_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003065,6,16,1,P6_I16_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003066,6,17,1,P6_I17_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003067,6,18,1,P6_I18_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003068,6,19,1,P6_I19_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003069,6,20,1,P6_I20_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003070,6,21,1,P6_I21_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003071,6,22,1,P6_I22_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003072,6,23,1,P6_I23_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003073,6,24,1,P6_I24_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003074,6,25,1,P6_I25_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003075,6,26,1,P6_I26_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003076,6,27,1,P6_I27_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003077,6,28,1,P6_I28_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003078,6,29,1,P6_I29_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003079,6,30,1,P6_I30_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003080,6,31,1,P6_I31_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003081,6,32,1,P6_I32_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003082,6,33,1,P6_I33_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003083,6,34,1,P6_I34_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003084,6,35,1,P6_I35_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003085,6,36,1,P6_I36_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003086,6,37,1,P6_I37_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003087,6,38,1,P6_I38_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003088,6,39,1,P6_I39_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003089,6,40,1,P6_I40_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003090,6,41,1,P6_I41_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003091,6,42,1,P6_I42_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003092,6,43,1,P6_I43_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003093,6,44,1,P6_I44_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003094,6,45,1,P6_I45_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003095,6,46,1,P6_I46_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003096,6,47,1,P6_I47_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003097,6,48,1,P6_I48_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003098,6,49,1,P6_I49_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
HHC,BFI-0003099,6,50,1,P6_I50_S1,Unsorted,FR1,STANFORD_Boyd,http://med.stanford.edu/scottboydlab.html,
